Progr;Date;Industrial Group;Industrial Group Descr;GKAM;Des GKAM;KAM;Des KAM;Sub Holding;Sub Holding Descr;P/N;Internal Company Code;Order Type Descr;Weight new booking;Q.TY;Currency;Exchange;Cost Currency Perc;Cost Euro Perc;Price Currency Perc;Price Euro Perc;Tot Cost Currency;Tot Cost Currency Weighted;Total Cost Euro;Total Cost Euro Weighted;Tot Turnover Currency;Tot Turnovr Curr Weighted;Tot Turnover Euro;Tot Turnover Euro Weighted;Weight per part (kg);Product Type;SOP Q_/YEAR Date;SOP+1 Euro;SOP+2 Euro;SOP+3 Euro;Macro Cod;Macro Application
788;08/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77085;0B1100RE;EXTENSION;;59535,000;EUR;1,000000;6,220000;6,220000;6,670000;6,670000;3705,700000;;3705,700000;;3973,370000;;3973,370000;;0,024700;NO;20200101;6,670000;6,670000;6,670000;;
789;08/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77092;0B1100RE;EXTENSION;;119070,000;EUR;1,000000;7,490000;7,490000;10,370000;10,370000;8917,210000;;8917,210000;;12347,560000;;12347,560000;;0,039400;NO;20200101;10,370000;10,370000;10,370000;;
790;08/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77054;0B1080RE;EXTENSION;;59535,000;EUR;1,000000;4,340000;4,340000;4,750000;4,750000;2581,710000;;2581,710000;;2827,910000;;2827,910000;;0,017500;NO;20200101;4,750000;4,750000;4,750000;;
791;08/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77008;0B1100RE;EXTENSION;;119070,000;EUR;1,000000;5,710000;5,710000;6,930000;6,930000;6793,070000;;6793,070000;;8253,930000;;8253,930000;;0,025300;NO;20200101;6,930000;6,930000;6,930000;;
792;08/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77005;471060RE;EXTENSION;;297675,000;EUR;1,000000;0,620000;0,620000;0,920000;0,920000;1848,920000;;1848,920000;;2732,660000;;2732,660000;;0,003300;NO;20200101;0,920000;0,920000;0,920000;;
793;08/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77022;0B1060RE;EXTENSION;;59535,000;EUR;1,000000;4,520000;4,520000;5,550000;5,550000;2689,620000;;2689,620000;;3304,190000;;3304,190000;;0,011600;NO;20200101;5,550000;5,550000;5,550000;;
794;08/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77008;471080RE;EXTENSION;;59535,000;EUR;1,000000;2,810000;2,810000;3,630000;3,630000;1671,270000;;1671,270000;;2161,720000;;2161,720000;;0,010800;NO;20200101;3,630000;3,630000;3,630000;;
795;17/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;RE77095;065,04RE;EXTENSION;;155000,000;EUR;1,000000;2,770000;2,770000;7,120000;7,120000;4289,310000;;4289,310000;;11043,750000;;11043,750000;;0,004880;NO;20230101;7,120000;7,120000;7,120000;;
796;19/08/2020;004;FAIC GROUP;GK67;Group Sales GK67;GK52;Sales Customer GK52;ADT;Company ADT;FC67060;1R1060FC;NEW;;40000,000;EUR;1,000000;8,870000;8,870000;12,560000;12,560000;3548,000000;;3548,000000;;5024,000000;;5024,000000;;0,010000;NO;20210201;5000,000000;18360,000000;17110,000000;A03;Engine
797;19/08/2020;409;FEAR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;ADT;Company ADT;FE00063;0B1060FE;NEW;;55000,000;EUR;1,000000;2,710000;2,710000;5,300000;5,300000;1490,500000;;1490,500000;;2915,000000;;2915,000000;;0,012000;NO;20201207;;;;A07;Body
798;19/08/2020;409;FEAR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;ADT;Company ADT;FE01511;4A1050FE;NEW;;20000,000;EUR;1,000000;1,100000;1,100000;6,250000;6,250000;220,000000;;220,000000;;1250,000000;;1250,000000;;0,001500;NO;20201015;;;;A07;Body
799;19/08/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44300;032141RE;REORDER;;1000,000;EUR;1,000000;45,520000;45,520000;148,350000;148,350000;455,200000;;455,200000;;1483,500000;;1483,500000;;0,181000;;0;;;;;
800;20/08/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;011100PE;REORDER;;25,000;EUR;1,000000;9,140000;9,140000;22,000000;22,000000;2,290000;;2,290000;;5,500000;;5,500000;;0,041170;;0;;;;;
801;20/08/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;031100PE;REORDER;;5100,000;EUR;1,000000;8,660000;8,660000;22,460000;22,460000;441,660000;;441,660000;;1145,460000;;1145,460000;;0,035000;;0;;;;;
802;20/08/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0C2120PE;REORDER;;10000,000;EUR;1,000000;11,460000;11,460000;24,010000;24,010000;1146,000000;;1146,000000;;2401,000000;;2401,000000;;0,005860;;0;;;;;
803;20/08/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;012100PE;REORDER;;6000,000;EUR;1,000000;12,400000;12,400000;23,780000;23,780000;744,000000;;744,000000;;1426,800000;;1426,800000;;0,046000;;0;;;;;
804;20/08/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0C1100PE;REORDER;;5000,000;EUR;1,000000;17,510000;17,510000;31,580000;31,580000;875,500000;;875,500000;;1579,000000;;1579,000000;;0,047000;;0;;;;;
805;20/08/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;PEPH201;742222PE;REORDER;;900,000;EUR;1,000000;45,600000;45,600000;85,810000;85,810000;410,400000;;410,400000;;772,290000;;772,290000;;0,072000;;0;;;;;
806;20/08/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;PEPH201;6E9242PE;REORDER;;3400,000;EUR;1,000000;98,900000;98,900000;208,680000;208,680000;3362,600000;;3362,600000;;7095,120000;;7095,120000;;0,108000;;0;;;;;
807;20/08/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0C2120PE;REORDER;;5130,000;EUR;1,000000;11,460000;11,460000;24,010000;24,010000;587,900000;;587,900000;;1231,710000;;1231,710000;;0,005860;;0;;;;;
808;20/08/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46930;0C2141RE;REORDER;;720,000;EUR;1,000000;49,480000;49,480000;110,520000;110,520000;356,260000;;356,260000;;795,740000;;795,740000;;0,215200;;0;;;;;
809;21/08/2020;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM8 897;0B2140BM;NEW;;1400000,000;EUR;1,000000;25,440000;25,440000;26,710000;26,710000;356160,000000;;356160,000000;;373940,000000;;373940,000000;;0,108660;;0;;;;;
810;21/08/2020;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM8 805;0B2160BM;NEW;;430000,000;EUR;1,000000;27,280000;27,280000;30,550000;30,550000;117304,000000;;117304,000000;;131365,000000;;131365,000000;;0,142620;;0;;;;;
811;21/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77072;0B1060RE;EXTENSION;;110000,000;EUR;1,000000;2,750000;2,750000;2,480000;2,480000;3030,500000;;3030,500000;;2725,800000;;2725,800000;;0,008900;NO;20220101;2,480000;2,480000;2,480000;;
812;21/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE77036;0B1060RE;EXTENSION;;55000,000;EUR;1,000000;5,950000;5,950000;6,030000;6,030000;3269,750000;;3269,750000;;3314,300000;;3314,300000;;0,014600;NO;20220101;6,030000;6,030000;6,030000;;
813;23/08/2020;002;REUL GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;AGR;Company SPA;RE2DX59;0B2120RE;NEW;;210000,000;EUR;1,000000;19,900000;19,900000;23,800000;23,800000;41790,000000;;41790,000000;;49980,000000;;49980,000000;;0,071320;NO;20220101;23,090000;22,390000;21,720000;;
814;23/08/2020;221;NIAN GROUP;GK63;Group Sales GK63;GK63;Sales Customer GK63;FRA;Company France;NI77059;055,01NI;EXTENSION;;140000,000;EUR;1,000000;4,490000;4,490000;6,560000;6,560000;6280,400000;;6280,400000;;9188,200000;;9188,200000;;0,013535;NO;20220101;6,560000;6,560000;6,560000;;
816;27/08/2020;;;GKA8;Group Sales GKA8;GKA8;Sales Customer GKA8;ADT;Company ADT;1/124;5C1080;NEW;;140000,000;EUR;1,000000;6,500000;6,500000;13,200000;13,200000;9100,000000;;9100,000000;;18480,000000;;18480,000000;;0,008000;NO;20200731;3000,000000;18000,000000;17000,000000;A10;Others
817;27/08/2020;016;VAO  GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;ESX;ESX;VA29162;NZAVA;PROTOTYPES;;1000,000;EUR;1,000000;120,000000;120,000000;850,000000;850,000000;1200,000000;;1200,000000;;8500,000000;;8500,000000;;0,018000;SI;20201001;;;;A03;Engine
818;27/08/2020;062;MA + GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;ESX;ESX;MA10 01;NZAMA;NEW;;2000000,000;EUR;1,000000;2,660000;2,660000;3,830000;3,830000;53200,000000;;53200,000000;;76600,000000;;76600,000000;;0,007500;SI;20210101;50556,000000;76600,000000;76600,000000;A03;Engine
819;27/08/2020;020;COIN GROUP;GK96;Group Sales GK96;GK96;Sales Customer GK96;ESX;ESX;COBT..0;990070CO;EXTENSION;;250000,000;EUR;1,000000;18,390000;18,390000;23,500000;23,500000;45982,500000;;45982,500000;;58750,000000;;58750,000000;;0,013500;SI;0;7050,000000;58750,000000;58750,000000;A02;Mobile
821;01/09/2020;037;BOH  GROUP;GK96;Group Sales GK96;GK27;Sales Customer GK27;ESX;ESX;BO020T8;9Y0100BO;PROTOTYPES;;-500,000;EUR;1,000000;1200,000000;1200,000000;1800,000000;1800,000000;-6000,000000;;-6000,000000;;-9000,000000;;-9000,000000;;0,095000;SI;20201001;;;;A02;Mobile
822;01/09/2020;023;FOIA GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;FRA;Company France;FO51178;V001CAFO;EXTENSION;;2719000,000;EUR;1,000000;5,460000;5,460000;7,270000;7,270000;148457,400000;;148457,400000;;197752,870000;;197752,870000;;0,013000;NO;20210101;35000,000000;48000,000000;120000,000000;A06;Interiors
823;01/09/2020;023;FOIA GROUP;GK19;Group Sales GK19;GK90;Sales Customer GK90;FRA;Company France;FO21287;075,01FO;NEW;;50000,000;EUR;1,000000;2,930000;2,930000;5,790000;5,790000;1463,500000;;1463,500000;;2895,000000;;2895,000000;;0,003610;NO;20210101;2800,000000;2800,000000;2800,000000;A06;Interiors
824;01/09/2020;;;GK82;Group Sales GK82;GK82;Sales Customer GK82;FRA;Company France;U1345;V061CV;EXTENSION;;13000000,000;EUR;1,000000;3,000000;3,000000;3,510000;3,510000;390000,000000;;390000,000000;;456300,000000;;456300,000000;;0,008890;NO;20220401;300000,000000;2600000,000000;9000000,000000;A03;Engine
825;01/09/2020;037;BOH  GROUP;GK96;Group Sales GK96;GK27;Sales Customer GK27;FRA;Company France;BO04401;NZABO;NEW;;2000000,000;EUR;1,000000;1,150000;1,150000;1,700000;1,700000;23000,000000;;23000,000000;;34000,000000;;34000,000000;;0,002250;;0;;;;;
826;01/09/2020;037;BOH  GROUP;GK96;Group Sales GK96;GK27;Sales Customer GK27;FRA;Company France;BO04402;NZABO;NEW;;6000000,000;EUR;1,000000;0,820000;0,820000;1,300000;1,300000;49200,000000;;49200,000000;;78000,000000;;78000,000000;;0,001730;;0;;;;;
827;01/09/2020;055;AULI GROUP;GK19;Group Sales GK19;GK30;Sales Customer GK30;AGR;Company SPA;AU64184;2B5710AU;NEW;;400000,000;EUR;1,000000;14,080000;14,080000;18,520000;18,520000;56320,000000;;56320,000000;;74080,000000;;74080,000000;;0,050180;;20200101;;;;;
828;02/09/2020;409;FEAR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;ADT;Company ADT;FE00002;101060FE;NEW;;10000,000;EUR;1,000000;6,220000;6,220000;14,200000;14,200000;622,000000;;622,000000;;1420,000000;;1420,000000;;0,007500;NO;20201016;;;;A03;Engine
829;02/09/2020;047;SCEF GROUP;GK19;Group Sales GK19;GKD2;Sales Customer GKD2;USA;Company USA;SCL-000;2D8100SC;NEW;;900000,000;USD;1,120000;7,590000;6,780000;8,900000;7,950000;68310,000000;;60991,070000;;80100,000000;;71517,860000;;0,013600;;0;;;;;
830;02/09/2020;004;FAIC GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;AGR;Company SPA;FC67006;108120FC;NEW;;200000,000;EUR;1,000000;15,780000;15,780000;18,950000;18,950000;31560,000000;;31560,000000;;37900,000000;;37900,000000;;0,070970;;0;;;;;
831;03/09/2020;409;FEAR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;ADT;Company ADT;FE01424;101060FE;NEW;;10000,000;EUR;1,000000;1,760000;1,760000;7,600000;7,600000;176,400000;;176,400000;;760,000000;;760,000000;;0,011000;NO;20201115;;;;A07;Body
832;03/09/2020;001;WIRT GROUP;GK14;Group Sales GK14;GK14;Sales Customer GK14;AGR;Company SPA;VOWHT26;02Y080VO;MODIFICATION;;1,000;EUR;1,000000;;;;;;;;;;;;;0,036080;;0;;;;;
833;03/09/2020;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;AGR;Company SPA;BM8 894;0FR080BM;NEW;;5000,000;EUR;1,000000;;;199,000000;199,000000;;;;;9950,000000;;9950,000000;;0,044460;;0;;;;;
834;04/09/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW7242;0BY080FO;NEW;;480000,000;USD;1,120000;8,400000;7,500000;13,000000;11,610000;40320,000000;;36000,000000;;62400,000000;;55714,290000;;0,026760;;0;;;;;
835;04/09/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW7242;MD1213FO;NEW;;760000,000;USD;1,120000;2,280000;2,040000;3,020000;2,700000;17328,000000;;15471,430000;;22952,000000;;20492,860000;;0,004080;;0;;;;;
836;04/09/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;RE46950;6E9333RE;REORDER;;10800,000;EUR;1,000000;102,220000;102,220000;205,080000;205,080000;11039,760000;;11039,760000;;22148,640000;;22148,640000;;0,248000;;0;;;;;
837;04/09/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46952;0B2120RE;REORDER;;3200,000;EUR;1,000000;63,470000;63,470000;115,730000;115,730000;2031,040000;;2031,040000;;3703,360000;;3703,360000;;0,242000;;0;;;;;
838;04/09/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;RE46900;6E9242RE;REORDER;;1800,000;EUR;1,000000;98,900000;98,900000;205,880000;205,880000;1780,200000;;1780,200000;;3705,840000;;3705,840000;;0,108000;;0;;;;;
839;04/09/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46925;101100RE;REORDER;;8000,000;EUR;1,000000;5,670000;5,670000;15,010000;15,010000;453,600000;;453,600000;;1200,800000;;1200,800000;;0,014000;;0;;;;;
840;04/09/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE44860;0F2160RE;REORDER;;650,000;EUR;1,000000;39,820000;39,820000;261,100000;261,100000;258,830000;;258,830000;;1697,150000;;1697,150000;;0,191000;;0;;;;;
841;04/09/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;RE46900;6E9242RE;REORDER;;1800,000;EUR;1,000000;98,800000;98,800000;205,580000;205,580000;1778,400000;;1778,400000;;3700,440000;;3700,440000;;0,108000;;0;;;;;
842;07/09/2020;;;GK52;Group Sales GK52;GK52;Sales Customer GK52;ADT;Company ADT;52174;101060;NEW;;200000,000;EUR;1,000000;2,170000;2,170000;3,500000;3,500000;4340,000000;;4340,000000;;7000,000000;;7000,000000;;0,007000;NO;20201201;7000,000000;7000,000000;7000,000000;A08;Interiors
843;07/09/2020;004;FAIC GROUP;GK67;Group Sales GK67;GK52;Sales Customer GK52;ADT;Company ADT;FC67004;980060FC;NEW;;40000,000;EUR;1,000000;20,000000;20,000000;26,000000;26,000000;8000,000000;;8000,000000;;10400,000000;;10400,000000;;0,002000;NO;20201102;1227,000000;4223,000000;3937,000000;A03;Engine
844;07/09/2020;004;FAIC GROUP;GK67;Group Sales GK67;GK52;Sales Customer GK52;ADT;Company ADT;FC67005;980080FC;NEW;;70000,000;EUR;1,000000;29,000000;29,000000;39,000000;39,000000;20300,000000;;20300,000000;;27300,000000;;27300,000000;;0,004000;NO;20201102;6442,000000;22170,000000;20680,000000;A03;Engine
845;07/09/2020;004;FAIC GROUP;GK67;Group Sales GK67;GK52;Sales Customer GK52;ADT;Company ADT;FC67006;980120FC;NEW;;10000,000;EUR;1,000000;48,000000;48,000000;75,000000;75,000000;4800,000000;;4800,000000;;7500,000000;;7500,000000;;0,006000;NO;20201102;1770,000000;6090,000000;5678,000000;A03;Engine
846;07/09/2020;004;FAIC GROUP;GK67;Group Sales GK67;GK52;Sales Customer GK52;ADT;Company ADT;FC67007;980160FC;NEW;;40000,000;EUR;1,000000;74,000000;74,000000;119,000000;119,000000;29600,000000;;29600,000000;;47600,000000;;47600,000000;;0,008000;NO;20201102;11233,000000;38656,000000;36038,000000;A03;Engine
847;07/09/2020;079;VGGR GROUP;GKA9;Group Sales GKA9;GKA9;Sales Customer GKA9;ADT;Company ADT;VGMA527;6J2121VG;NEW;;10000,000;EUR;1,000000;10,640000;10,640000;11,820000;11,820000;1064,000000;;1064,000000;;1182,000000;;1182,000000;;0,015000;NO;20200904;;;;A07;Body
848;07/09/2020;079;VGGR GROUP;GKA9;Group Sales GKA9;GKA9;Sales Customer GKA9;ADT;Company ADT;VGMA572;6M1050VG;NEW;;10000,000;EUR;1,000000;6,030000;6,030000;6,700000;6,700000;603,000000;;603,000000;;670,000000;;670,000000;;0,002000;NO;20200904;;;;A07;Body
849;07/09/2020;079;VGGR GROUP;GKA9;Group Sales GKA9;GKA9;Sales Customer GKA9;ADT;Company ADT;VGMA566;8D1060VG;NEW;;10000,000;EUR;1,000000;1,910000;1,910000;2,120000;2,120000;191,000000;;191,000000;;212,000000;;212,000000;;0,010000;NO;20200904;;;;A07;Body
850;07/09/2020;079;VGGR GROUP;GKA9;Group Sales GKA9;GKA9;Sales Customer GKA9;ADT;Company ADT;VGMA503;6HJ040VG;NEW;;10000,000;EUR;1,000000;1,110000;1,110000;1,230000;1,230000;111,000000;;111,000000;;123,000000;;123,000000;;0,001500;NO;20200904;;;;A07;Body
851;07/09/2020;079;VGGR GROUP;GKA9;Group Sales GKA9;GKA9;Sales Customer GKA9;ADT;Company ADT;VGMA504;6HJ050VG;NEW;;10000,000;EUR;1,000000;3,000000;3,000000;3,330000;3,330000;300,000000;;300,000000;;333,000000;;333,000000;;0,003000;NO;20200904;;;;A07;Body
852;07/09/2020;079;VGGR GROUP;GKA9;Group Sales GKA9;GKA9;Sales Customer GKA9;ADT;Company ADT;VGMA574;135710VG;NEW;;10000,000;EUR;1,000000;8,560000;8,560000;9,510000;9,510000;856,000000;;856,000000;;951,000000;;951,000000;;0,025000;NO;20200904;;;;A07;Body
853;07/09/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0G1120PE;REORDER;;4000,000;EUR;1,000000;44,000000;44,000000;64,850000;64,850000;1760,000000;;1760,000000;;2594,000000;;2594,000000;;0,119000;;0;;;;;
854;07/09/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;RE46925;101100RE;REORDER;;11000,000;EUR;1,000000;5,670000;5,670000;15,010000;15,010000;623,700000;;623,700000;;1651,100000;;1651,100000;;0,014000;;0;;;;;
855;07/09/2020;;;GK67;Group Sales GK67;GK67;Sales Customer GK67;GER;Company Germany;60006;6E2202;REORDER;;20000,000;EUR;1,000000;132,780000;132,780000;165,000000;165,000000;26556,000000;;26556,000000;;33000,000000;;33000,000000;;0,128000;NO;0;;;;;
856;07/09/2020;;;GK67;Group Sales GK67;GK67;Sales Customer GK67;GER;Company Germany;60083;6E2202;REORDER;;30000,000;EUR;1,000000;92,520000;92,520000;110,000000;110,000000;27756,000000;;27756,000000;;33000,000000;;33000,000000;;0,140000;NO;0;;;;;
857;08/09/2020;409;FEAR GROUP;GK67;Group Sales GK67;GK67;Sales Customer GK67;ADT;Company ADT;FE01078;550070FE;NEW;;20000,000;EUR;1,000000;4,300000;4,300000;12,900000;12,900000;860,000000;;860,000000;;2580,000000;;2580,000000;;0,002000;NO;20201015;2580,000000;2580,000000;2580,000000;A07;Body
859;09/09/2020;014;IZI FRW GROUP;GK65;Group Sales GK65;GK16;Sales Customer GK16;GER;Company Germany;ZFA0068;422160ZF;EXTENSION;;510000,000;EUR;1,000000;6,330000;6,330000;8,820000;8,820000;32283,000000;;32283,000000;;44982,000000;;44982,000000;;0,017800;NO;20210201;;;;;
860;10/09/2020;005;DALE GROUP;GK65;Group Sales GK65;GKA4;Sales Customer GKA4;ADT;Company ADT;DAHKE74;990201DA;NEW;;100,000;EUR;1,000000;1260,000000;1260,000000;1250,000000;1250,000000;1260,000000;;1260,000000;;1250,000000;;1250,000000;;0,182000;NO;20201016;;;;A07;Body
861;10/09/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW71XD;0650AWFO;EXTENSION;;350000,000;USD;1,120000;14,860000;13,270000;19,450000;17,370000;52010,000000;;46437,500000;;68075,000000;;60781,250000;;0,031370;;0;;;;;
862;10/09/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;0F2160PE;REORDER;;1050,000;EUR;1,000000;39,820000;39,820000;265,490000;265,490000;418,110000;;418,110000;;2787,640000;;2787,640000;;0,191000;;0;;;;;
863;10/09/2020;069;REER GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;FRA;Company France;RE44524;V001CARE;REORDER;;32000,000;EUR;1,000000;8,880000;8,880000;11,970000;11,970000;2841,600000;;2841,600000;;3830,400000;;3830,400000;;0,018700;;0;;;;;
864;10/09/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;011100PE;REORDER;;1000,000;EUR;1,000000;9,140000;9,140000;22,000000;22,000000;91,400000;;91,400000;;220,000000;;220,000000;;0,041470;;0;;;;;
865;10/09/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;GER;Company Germany;PEPH201;932141PE;REORDER;;1500,000;EUR;1,000000;11,180000;11,180000;18,000000;18,000000;167,700000;;167,700000;;270,000000;;270,000000;;0,027135;;0;;;;;
866;10/09/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;7P8120PE;REORDER;;540,000;EUR;1,000000;17,750000;17,750000;40,500000;40,500000;95,850000;;95,850000;;218,700000;;218,700000;;0,080500;;0;;;;;
867;11/09/2020;006;ABAM GROUP;GK65;Group Sales GK65;GKA7;Sales Customer GKA7;ADT;Company ADT;BM99000;150060BM;NEW;;23000,000;EUR;1,000000;25,200000;25,200000;39,950000;39,950000;5796,000000;;5796,000000;;9188,500000;;9188,500000;;0,012000;NO;20220301;2258,000000;6614,000000;19076,000000;A05;Mobile
868;11/09/2020;008;GERA GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;GE11632;661081GE;NEW;;135000,000;USD;1,120000;13,010000;11,620000;18,500000;16,520000;17563,500000;;15681,700000;;24975,000000;;22299,110000;;0,030390;;0;;;;;
869;14/09/2020;126;PER  GROUP;GK26;Group Sales GK26;GK26;Sales Customer GK26;AGR;Company SPA;PEPH101;02A100PE;REORDER;;1000,000;EUR;1,000000;13,160000;13,160000;29,980000;29,980000;131,600000;;131,600000;;299,800000;;299,800000;;0,054650;;0;;;;;
870;15/09/2020;125;MTGR GROUP;GKA9;Group Sales GKA9;GKA9;Sales Customer GKA9;ADT;Company ADT;MT15510;751060MT;NEW;;1200000,000;EUR;1,000000;10,370000;10,370000;12,500000;12,500000;124440,000000;;124440,000000;;150000,000000;;150000,000000;;0,009000;NO;20210104;;;;A07;Body
871;15/09/2020;I02;Coan GROUP;GKI0;Group Sales GKI0;GKI0;Sales Customer GKI0;AGR;Company SPA;CoN 039;6H9400Co;EXTENSION;;44000,000;EUR;1,000000;1,580000;1,580000;1,760000;1,760000;696,960000;;696,960000;;774,400000;;774,400000;;0,000950;;0;;;;;
872;15/09/2020;I02;Coan GROUP;GKI0;Group Sales GKI0;GKI0;Sales Customer GKI0;AGR;Company SPA;CoN 040;6H9400Co;EXTENSION;;130000,000;EUR;1,000000;0,850000;0,850000;0,940000;0,940000;1099,800000;;1099,800000;;1222,000000;;1222,000000;;0,001100;;0;;;;;
873;15/09/2020;I04;Coan GROUP;GKI0;Group Sales GKI0;GKI0;Sales Customer GKI0;FRA;Company France;CoN 039;6H9400Co;EXTENSION;;44000,000;EUR;1,000000;0,950000;0,950000;1,580000;1,580000;417,560000;;417,560000;;696,960000;;696,960000;;0,000950;;0;;;;;
874;15/09/2020;I04;Coan GROUP;GKI0;Group Sales GKI0;GKI0;Sales Customer GKI0;FRA;Company France;CoN 040;6H9400Co;EXTENSION;;130000,000;EUR;1,000000;0,850000;0,850000;1,030000;1,030000;1099,800000;;1099,800000;;1333,800000;;1333,800000;;0,001100;;0;;;;;
875;16/09/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW5039;0648EYFO;EXTENSION;;500000,000;USD;1,120000;4,390000;3,920000;4,760000;4,250000;21950,000000;;19598,210000;;23800,000000;;21250,000000;;0,008330;;0;;;;;
876;16/09/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW71XD;0023AWFO;EXTENSION;;500000,000;USD;1,120000;8,880000;7,930000;6,540000;5,840000;44400,000000;;39642,860000;;32700,000000;;29196,430000;;0,011880;;0;;;;;
877;16/09/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW7139;0181AYFO;EXTENSION;;500000,000;USD;1,120000;8,910000;7,960000;12,640000;11,290000;44550,000000;;39776,790000;;63200,000000;;56428,570000;;0,024060;;0;;;;;
878;16/09/2020;010;FO G GROUP;GKD2;Group Sales GKD2;GKD2;Sales Customer GKD2;USA;Company USA;FOW7139;0180AYFO;EXTENSION;;500000,000;USD;1,120000;1,650000;1,470000;4,090000;3,650000;8225,000000;;7343,750000;;20450,000000;;18258,930000;;0,003125;;0;;;;;
